,time,AdaptionUnit.Aircraft_State,AdaptionUnit.LHexTout,AdaptionUnit.CPUtime,AdaptionUnit.EventCounter,AdaptionUnit.sWsignals.Aircraft_State,AdaptionUnit.sWsignals.TLiquid,Atmos.Alt,Atmos.Ma,Atmos.CPUtime,Atmos.EventCounter,Atmos.Pamb,Atmos.Tamb,Consumer.Alt,Consumer.Mach,Consumer.Pamb,Consumer.Tamb,Consumer.consumerFeed.hn,Consumer.consumerFeed.m,Consumer.consumerRet.hn,Consumer.consumerRet.m,Consumer.heatLoad,Consumer.CPUtime,Consumer.EventCounter,Consumer.consumerFeed.h,Consumer.consumerFeed.p,Consumer.consumerRet.h,Consumer.consumerRet.p,Consumer.inletTemp,Consumer.outletTemp,ECS_HW.Alt,ECS_HW.Mach,ECS_HW.Pamb,ECS_HW.Tamb,ECS_HW.consumerFeed.h,ECS_HW.consumerFeed.p,ECS_HW.consumerRet.h,ECS_HW.consumerRet.p,ECS_HW.reqCoolingTemperature,ECS_HW.CPUtime,ECS_HW.EventCounter,ECS_HW.LHexTout,ECS_HW.consumerFeed.hn,ECS_HW.consumerFeed.m,ECS_HW.consumerRet.hn,ECS_HW.consumerRet.m,ECS_SW.Input.Aircraft_State,ECS_SW.Input.TLiquid,ECS_SW.TCoolingPack
10,10.7,0.0,295.366983341,0.287416,3,0,295.366983341,353.333333333,0.0424,0.287071,3,97151.555112,285.853333333,353.333333333,0.0424,97151.555112,285.853333333,69418.2821128,-0.373661815756,64889.1871842,0.318877263609,50.0,0.286721,4,69418.2821022,524130.832493,68348.9179301,479451.355907,295.365549155,295.025829963,353.333333333,0.0424,97151.555112,285.853333333,69421.500262,522991.121738,68332.8107351,478399.271774,513.0,0.287718,7,295.370040901,69415.7558856,-0.373443022562,65048.515779,0.319777404826,0,295.366983341,513.0
11,11.8,0.0,295.413463492,0.310042,3,0,295.413463492,390.0,0.0468,0.309697,3,96726.5595901,285.615,390.0,0.0468,96726.5595901,285.615,69428.612034,-0.371393199032,66336.3917883,0.327786395453,50.0,0.309348,4,69428.6120349,535252.822088,68547.7016562,489742.730564,295.368830092,295.088991286,390.0,0.0468,96726.5595901,285.615,69424.2046454,534343.6099,68527.905484,488898.41534,513.0,0.310346,7,295.418933609,69433.6994996,-0.371210971085,66439.7235444,0.328491491944,0,295.413463492,513.0
12,12.9,0.0,295.482528068,0.332788,3,0,295.482528068,426.666666667,0.0512,0.332442,3,96303.0707757,285.376666667,426.666666667,0.0512,96303.0707757,285.376666667,69520.3650017,-0.369498140688,67287.7713696,0.33479946415,50.0,0.33209,4,69520.3650021,544086.27598,68788.332335,497936.09387,295.397971566,295.165442264,426.666666667,0.0512,96303.0707757,285.376666667,69508.924984,543364.918019,68764.7953876,497267.360407,513.0,0.333073,7,295.489664472,69532.3964359,-0.369347144517,67357.6928015,0.335357179543,0,295.482528068,513.0
13,14.0,0.0,295.567174,0.35514,3,0,295.567174,463.333333333,0.0556,0.354795,3,95881.0845786,285.138333333,463.333333333,0.0556,95881.0845786,285.138333333,69682.2825575,-0.367981937584,67954.0472971,0.340365228359,50.0,0.354445,4,69682.2825569,551110.414436,69066.8757301,504462.772129,295.449395254,295.253929297,463.333333333,0.0556,95881.0845786,285.138333333,69665.0357253,550536.985279,69040.171105,503931.116254,513.0,0.355427,7,295.575462936,69700.0008591,-0.367850944826,68004.9497483,0.340811447756,0,295.567174,513.0
14,15.1,0.0,295.662714399,0.378048,3,0,295.662714399,500.0,0.06,0.377701,3,95460.5969167,284.9,500.0,0.06,95460.5969167,284.9,69900.4304741,-0.366752982859,68463.7678438,0.344832311733,50.0,0.377349,4,69900.4303029,556710.118663,69376.1091462,509673.727095,295.518671907,295.352154273,500.0,0.06,95460.5969167,284.9,69878.6345204,556253.777218,69346.9085597,509252.573569,513.0,0.378332,7,295.671823117,69922.5837844,-0.36665644074,68505.6493389,0.345194245896,0,295.662714399,513.0
15,16.2,0.0,295.766016284,0.404189,3,0,295.766016284,536.666666667,0.0644,0.403844,3,95041.6037153,284.661666667,536.666666667,0.0644,95041.6037153,284.661666667,70161.9770123,-0.365774311967,68895.3626133,0.348425595615,50.0,0.403494,4,70161.977006,561142.401348,69708.809134,513796.527301,295.601722669,295.457819559,536.666666667,0.0644,95041.6037153,284.661666667,70136.7050564,560779.990634,69677.777284,513457.934942,513.0,0.404466,7,295.775710211,70187.5221934,-0.365695694469,68932.2329942,0.348714062402,0,295.766016284,513.0
16,17.2,0.0,295.864809527,0.428016,3,0,295.864809527,570.0,0.0684,0.427671,3,94661.9942285,284.445,570.0,0.0684,94661.9942285,284.445,70428.4999596,-0.365053149275,69254.8337666,0.351094432825,50.0,0.427321,4,70428.4999599,564358.006437,70026.5298598,516785.557379,295.686344612,295.558714273,570.0,0.0684,94661.9942285,284.445,70400.8196297,564066.825313,69994.2264257,516514.630197,513.0,0.428301,7,295.874893946,70456.3965623,-0.364988395493,69289.8101968,0.351333858801,0,295.864809527,513.0
17,18.2,0.0,295.96700138,0.447386,3,0,295.96700138,603.333333333,0.0724,0.447039,3,94283.6134218,284.228333333,603.333333333,0.0724,94283.6134218,284.228333333,70715.8942943,-0.364454952536,69599.9815981,0.353303823612,50.0,0.446687,4,70715.8944028,566937.355576,70354.9900685,519182.833903,295.777583189,295.663005875,603.333333333,0.0724,94283.6134218,284.228333333,70686.3621729,566704.981047,70321.7359049,518967.735571,513.0,0.44762,7,295.977369386,70745.5837093,-0.364400057294,69634.0015492,0.353504212929,0,295.96700138,513.0
18,19.2,0.0,296.071644859,0.466386,3,0,296.071644859,636.666666667,0.0764,0.46604,3,93906.4582506,284.011666667,636.666666667,0.0764,93906.4582506,284.011666667,71019.1444697,-0.363966802905,69940.6588458,0.35513590262,50.0,0.465691,4,71019.1444692,568984.603287,70691.2943293,521084.366413,295.873844023,295.769773861,636.666666667,0.0764,93906.4582506,284.011666667,70988.2292665,568800.45544,70657.3908459,520913.102044,513.0,0.466682,7,296.082214861,71050.1827678,-0.363923370455,69974.8028122,0.355301489448,0,296.071644859,513.0
19,20.2,0.0,296.177993906,0.489957,3,0,296.177993906,670.0,0.0804,0.489611,3,93530.5256751,283.795,670.0,0.0804,93530.5256751,283.795,71334.2692198,-0.363567634077,70282.1763681,0.356661178123,50.0,0.489261,4,71334.269176,570598.384919,71033.1485427,522581.220857,295.973861836,295.878289061,670.0,0.0804,93530.5256751,283.795,71302.3191189,570453.670305,70998.7967182,522445.990224,513.0,0.490238,7,296.188697986,71366.3060135,-0.363532545837,70316.5809281,0.356798353103,0,296.177993906,513.0
